Chn,Identifier,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,184,8,4,0,0,0,0,0,0,0,4.28109,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.28135,R
0,334,8,6,0,0,0,0,0,0,0,4.2816,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.28186,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.28212,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.28237,R
0,1E5,8,3,0,0,0,0,0,0,0,4.28254,R
0,1E9,8,5,0,0,0,0,0,0,0,4.28493,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.2898,R
0,000000C9,8,11,C5,EF,0,0,0,0,0,4.28997,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.29022,R
0,191,8,0,0,0,0,0,0,0,0,4.29048,R
0,199,8,0,0,0,0,0,0,0,FF,4.29073,R
0,10,8,0,0,0,0,0,0,0,0,4.29099,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.29125,R
0,000002F9,8,9,0,0,0,0,0,0,0,4.2915,R
0,0000034A,8,0B,0,0,0,0,0,0,0,4.29176,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.29201,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.29227,R
0,1E5,8,3,0,0,0,0,0,0,0,4.29253,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.29688,R
0,348,8,0A,0,0,0,0,0,0,0,4.29713,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.29978,R
0,000000C9,8,20,C5,EF,0,0,0,0,0,4.30004,R
0,191,8,0,0,0,0,0,0,0,0,4.30029,R
0,184,8,4,0,0,0,0,0,0,0,4.30089,R
0,334,8,6,0,0,0,0,0,0,0,4.30114,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.3014,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.30191,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.30217,R
