Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,370,8,2,0,0,0,1,0,0,0,0.85094,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.8512,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.85145,R
0,000000A2,8,18,0,0,0,0,0,0,0,0.8593,R
0,000000B2,8,0,0,0,0,0,0,0,0,0.85956,R
0,000000C4,8,20,4E,0,0,0,0,0,0,0.85981,R
0,316,8,2,0,0,0,1,0,0,0,0.86007,R
0,329,8,2,0,0,0,1,0,0,0,0.86033,R
0,382,8,2,0,0,0,1,0,0,0,0.86058,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.86084,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.86109,R
0,587,8,1,0,0,0,2,0,0,0,0.86135,R
0,120,4,F0,55,0,0,0,0,,,0.8634,R
0,000001C7,8,99,CE,F4,1,0,0,0,0,0.86929,R
0,184,8,C5,CF,F4,1,0,0,0,0,0.86954,R
0,000001CD,8,FD,CE,F4,1,0,0,0,0,0.8698,R
0,1E9,8,61,CF,F4,1,0,0,0,0,0.87005,R
0,316,8,2,0,0,0,1,0,0,0,0.87031,R
0,329,8,2,0,0,0,1,0,0,0,0.87057,R
0,334,8,29,D0,F4,1,0,0,0,0,0.87074,R
0,382,8,2,0,0,0,1,0,0,0,0.87099,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.87125,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.8715,R
0,587,8,1,0,0,0,2,0,0,0,0.87176,R
0,370,8,2,0,0,0,1,0,0,0,0.87202,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.87227,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.87253,R
0,316,8,2,0,0,0,1,0,0,0,0.88055,R
0,329,8,2,0,0,0,1,0,0,0,0.88081,R
0,382,8,2,0,0,0,1,0,0,0,0.88106,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.88132,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.88157,R
0,587,8,1,0,0,0,2,0,0,0,0.88183,R
0,316,8,2,0,0,0,1,0,0,0,0.88977,R
0,329,8,2,0,0,0,1,0,0,0,0.89002,R
0,382,8,2,0,0,0,1,0,0,0,0.89028,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.89045,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.8907,R
0,587,8,1,0,0,0,2,0,0,0,0.89096,R
0,370,8,2,0,0,0,1,0,0,0,0.89122,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.89147,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.89173,R
0,0000017D,8,5,CF,F4,1,0,0,0,0,0.896,R
0,0000017F,8,69,CF,F4,1,0,0,0,0,0.89625,R
0,316,8,2,0,0,0,1,0,0,0,0.89992,R
0,329,8,2,0,0,0,1,0,0,0,0.90018,R
0,382,8,2,0,0,0,1,0,0,0,0.90043,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.9006,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.90086,R
0,587,8,1,0,0,0,2,0,0,0,0.90112,R
0,316,8,2,0,0,0,1,0,0,0,0.90905,R
0,329,8,2,0,0,0,1,0,0,0,0.90931,R
0,000000A2,8,18,0,0,0,0,0,0,0,0.90956,R
0,000000B2,8,0,0,0,0,0,0,0,0,0.90982,R
0,000000C4,8,20,4E,0,0,0,0,0,0,0.91008,R
0,184,8,49,D0,F4,1,0,0,0,0,0.91033,R
0,1E9,8,E5,CF,F4,1,0,0,0,0,0.91059,R
0,334,8,AD,D0,F4,1,0,0,0,0,0.91076,R
0,382,8,2,0,0,0,1,0,0,0,0.91101,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.91127,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.91153,R
0,587,8,1,0,0,0,2,0,0,0,0.91178,R
0,370,8,2,0,0,0,1,0,0,0,0.91204,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.91229,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.91255,R
0,316,8,2,0,0,0,1,0,0,0,0.92057,R
0,329,8,2,0,0,0,1,0,0,0,0.92083,R
