Chn,Identifier Flg,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000000F1,8,0,0,0,0,0,0,0,0,0.10342,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.10368,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.10658,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.10684,R
0,000000C9,8,E0,B2,D4,9,0,0,0,0,0.10974,R
0,00000191,8,0,0,0,0,0,0,0,0,0.10999,R
0,000002C3,8,12,B3,D4,9,0,0,0,0,0.11025,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.11119,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.11145,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.1117,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.11196,R
0,00000184,8,4,0,0,0,0,0,0,0,0.11221,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.11247,R
0,00000334,8,6,0,0,0,0,0,0,0,0.11273,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.11298,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.11341,R
0,00000121,4,2,0,0,0,,,,,0.11358,R
0,0000012A,8,0,0,0,0,0,0,0,0,0.11383,R
0,00000130,4,10,27,0,0,,,,,0.11401,R
0,00000134,8,0,0,0,0,0,0,0,0,0.11426,R
0,00000138,8,0,0,0,0,0,0,0,0,0.11452,R
0,000001F1,8,0,0,0,0,0,0,0,0,0.11477,R
0,000003C9,8,0,0,0,0,0,0,0,0,0.11503,R
0,000004E1,8,0,0,0,0,0,0,0,0,0.11529,R
0,000004E9,8,0,0,0,0,0,0,0,0,0.11554,R
0,00000514,8,0,0,0,0,0,0,0,0,0.1158,R
0,0000052A,8,0,0,0,0,0,0,0,0,0.11605,R
0,00000771,8,0,0,0,0,0,0,0,0,0.11631,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.11648,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.11921,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.11947,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.11972,R
0,000000C9,8,21,B3,D4,9,0,0,0,0,0.11998,R
0,00000191,8,0,0,0,0,0,0,0,0,0.12023,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.12041,R
0,000001C3,8,26,B3,D4,9,0,0,0,0,0.12066,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.12092,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.12117,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.12143,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.12169,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.12339,R
0,000000C9,8,35,B3,D4,9,0,0,0,0,0.12979,R
0,00000191,8,0,0,0,0,0,0,0,0,0.13005,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.13116,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.13141,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.13167,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.13193,R
0,00000184,8,4,0,0,0,0,0,0,0,0.13218,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.13244,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.13269,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.13295,R
0,00000334,8,6,0,0,0,0,0,0,0,0.13321,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.13346,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.13372,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.13397,R
0,00000121,4,2,0,0,0,,,,,0.13833,R
0,000000C9,8,44,B3,D4,9,0,0,0,0,0.13978,R
0,00000191,8,0,0,0,0,0,0,0,0,0.14003,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.14123,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.14148,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.14174,R
0,00000348,8,0A,0,0,0,0,0,0,0,0.14199,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.14217,R
0,000001C3,8,4A,B3,D4,9,0,0,0,0,0.14242,R
0,000002F9,8,9,0,0,0,0,0,0,0,0.14268,R
0,0000034A,8,0B,0,0,0,0,0,0,0,0.14293,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.14345,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.14481,R
